initial date: 2023-01-01, Fecha actual: 2024-09-26
percentil(%)  -  pendent anual  - volatilitat(%) - etiqueta 
99,0.146,12,GBPUSD=X
30,0.093,6,CAD=X
45,0.171,21,JPY=X
68,0.191,21,EURJPY=X
85,0.201,25,GBPJPY=X
31,0.070,10,EURAUD=X
93,0.129,6,EURCAD=X
80,0.190,20,AUDJPY=X
44,0.161,20,CADJPY=X
76,0.202,23,CHFJPY=X
7,0.021,30,CL=F
100,0.199,32,GC=F
99,0.144,38,SI=F
87,0.085,31,HG=F
4,0.044,7,DX-Y.NYB
5,0.015,15,ZAR=X
73,0.099,95,RUB=X
78,0.053,5,AUDNZD=X
57,0.109,9,EURNZD=X
88,0.151,13,GBPAUD=X
74,0.021,8,GBPCHF=X
92,0.166,14,GBPNZD=X
73,0.184,18,NZDJPY=X
39,0.075,13,NOK=X
81,0.102,13,EURNOK=X
37,0.034,8,EURSEK=X
100,0.219,45,TRY=X
0,0.013,7,SGD=X
99,0.191,11,GBPCAD=X
89,0.188,22,ZARJPY=X
42,0.064,12,HUF=X
89,0.115,8,EURHUF=X
99,0.175,11,GBPHUF=X
94,0.161,13,CHFHUF=X
62,0.192,0,EURDKK=X
50,0.153,12,CZK=X
initial date: 2023-01-01, Fecha actual: 2024-09-26
percentil(%)  -  pendent anual  - volatilitat(%) - etiqueta 
initial date: 2023-01-01, Fecha actual: 2024-09-26
percentil(%)  -  pendent anual  - volatilitat(%) - etiqueta 
initial date: 2023-01-01, Fecha actual: 2024-09-26
percentil(%)  -  pendent anual  - volatilitat(%) - etiqueta 
initial date: 2023-01-01, Fecha actual: 2024-09-26
percentil(%)  -  pendent anual  - volatilitat(%) - etiqueta 
initial date: 2023-01-01, Fecha actual: 2024-09-26
percentil(%)  -  pendent anual  - volatilitat(%) - etiqueta 
initial date: 2023-01-01, Fecha actual: 2024-09-26
percentil(%)  -  pendent anual  - volatilitat(%) - etiqueta 
96,0.174,28,M2K=F
97,0.211,63,OJ=F
72,0.154,100,LE=F
49,0.053,100,HE=F
99,0.216,30,LEAD
83,0.110,100,HINDZINC.BO
83,0.012,100,ALI=F
72,0.095,17,ILS=X
99,0.145,19,GBPILS=X
94,0.095,15,EURILS=X
61,0.181,21,CLP=X
51,0.156,12,KRW=X
89,0.079,18,BRL=X
95,0.169,47,AAPL
80,0.219,55,GOOG
100,0.222,78,META
92,0.216,52,MSFT
96,0.218,58,AMZN
99,0.243,44,AEC1D.XC
98,0.190,46,CAT1.BE
50,0.023,35,DIS
99,0.170,29,HD.VI
92,0.148,37,HPE
9,0.026,63,INTC
100,0.151,58,1736.TW
0,0.041,100,AMJ
100,0.087,48,MMM
